Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610 False Eng, ,11.0.60610.1, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17 False, ,9.0.30729, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161, ,9.0.30729.6161, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664 False Eng, ,12.0.40664.0, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x86 8.0.51011 False, ,8.0.51011, ,Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 False Eng, ,11.0.60610.1, ,Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030, ,11.0.61030.0, ,Корпорация Майкрософт
Microsoft Visual C++ 2005 Redistributable - x86 8.0.50727.42 False, ,8.0.50727.42, ,Microsoft Corporation
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40649 False, ,12.0.40649, ,Microsoft Corporation
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030, ,11.0.61030, ,Microsoft Corporation
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29325, ,14.28.29325, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 False, ,12.0.30501.0, ,Корпорация Майкрософт
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030, ,11.0.61030, ,Microsoft Corporation
VT-Julie-M16-SAPI5, ,undefined, ,undefined
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40649 False, ,12.0.40649.5, ,Корпорация Майкрософт
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030 False Eng, ,11.0.61030.0, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005 False Eng, ,12.0.21005.1, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664, ,12.0.40664.0, ,Корпорация Майкрософт
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664, ,12.0.40664, ,Microsoft Corporation
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29325, ,14.28.29325.2, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x86 8.0.57103 False, ,8.0.57103, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022.0 False, ,9.0.21022, ,Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 False, ,11.0.60610.1, ,Корпорация Майкрософт
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40649 False, ,12.0.40649, ,Microsoft Corporation
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660 False, ,12.0.40660, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022.218 False, ,9.0.21022.218, ,Microsoft Corporation
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610 False, ,11.0.60610, ,Microsoft Corporation
